DRUG_NAME,accuracy,precision,recall,f1,roc_auc
Afuresertib,0.571917808219178,0.6299212598425197,0.5063291139240507,0.5614035087719298,0.660589457774419
Methotrexate,0.6127819548872181,0.6237623762376238,0.4921875,0.5502183406113537,0.6585711050724639
Sabutoclax,0.6335877862595419,0.6545454545454545,0.5538461538461539,0.6,0.6582167832167832
GSK1904529A,0.6335616438356164,0.6390977443609023,0.5902777777777778,0.6137184115523465,0.6548188813813812
IOX2,0.6904761904761905,0.8125,0.5652173913043478,0.6666666666666666,0.6544622425629291
JAK_8517,0.6336633663366337,0.6363636363636364,0.5714285714285714,0.6021505376344086,0.6543367346938775
Gefitinib,0.6061643835616438,0.7073170731707317,0.5240963855421686,0.6020761245674741,0.6516542359915855
Dasatinib,0.6448275862068965,0.6756756756756757,0.528169014084507,0.5928853754940712,0.650456794822992
LY2109761,0.6412213740458015,0.6964285714285714,0.5652173913043478,0.624,0.6498948106591865
Foretinib,0.648936170212766,0.6434108527131783,0.6102941176470589,0.6264150943396226,0.6481668009669621
ABT737,0.660958904109589,0.6870229007633588,0.6081081081081081,0.6451612903225806,0.6475225225225225
729189,0.6414141414141414,0.6470588235294118,0.5729166666666666,0.6077348066298343,0.6464460784313726
Navitoclax,0.6746575342465754,0.7022900763358778,0.6216216216216216,0.6594982078853047,0.6448010510510511
GSK591,0.6048951048951049,0.6692913385826772,0.5448717948717948,0.6007067137809188,0.6428994082840236
BDOCA000347a,0.6464646464646465,0.6428571428571429,0.574468085106383,0.6067415730337079,0.6402414075286414
Lapatinib,0.571917808219178,0.6390977443609023,0.5246913580246914,0.576271186440678,0.639031339031339
BIBR-1532,0.6063829787234043,0.6377952755905512,0.5547945205479452,0.5934065934065934,0.6366589443996777
Tozasertib,0.6808510638297872,0.8125,0.52,0.6341463414634146,0.6345454545454546
720427,0.6616161616161617,0.6823529411764706,0.5918367346938775,0.6338797814207651,0.6326530612244898
Piperlongumine,0.6904761904761905,0.8125,0.5652173913043478,0.6666666666666666,0.6304347826086957
Pictilisib,0.6061643835616438,0.5590551181102362,0.5461538461538461,0.5525291828793775,0.6302943969610636
SL0101,0.6904761904761905,0.625,0.5882352941176471,0.6060606060606061,0.6294117647058822
AZD3759,0.5924657534246576,0.71900826446281,0.5058139534883721,0.5938566552901023,0.6289970930232559
TAF1_5496,0.6336633663366337,0.6363636363636364,0.5714285714285714,0.6021505376344086,0.6285321821036106
743380,0.5606060606060606,0.5764705882352941,0.49,0.5297297297297298,0.6255102040816326
